,AGE AT CLINICAL ONSET (YEARS) - Known age only,,,,,,,,,,
Birth Cohort,1-,2-,3-,4-,5-,6-,7-,8-,9-,10-,11-
Pre-1981,0,0,0,0,0,0,0,0,0,0,0
1981/1982,0,0,0,0,35,102,107,60,44,17,18
1982/1983,0,0,3,118,534,648,332,136,117,58,34
1983/1984,0,2,83,897,1877,1271,564,316,137,81,35
1984/1985,0,5,349,2171,2830,1582,752,341,190,67,28
1985/1986,0,14,680,3587,3930,2519,1085,470,202,71,24
1986/1987,0,36,1530,6724,7677,4542,1811,640,212,74,25
1987/1988,1,60,3346,13202,12753,6546,2294,700,194,81,32
1988/1989,0,19,1068,5137,5671,3033,1136,309,117,55,12
1989/1990,0,21,836,3627,3821,1900,607,157,47,22,16
1990/1991,1,21,406,1695,1716,770,257,96,33,35,38
1991/1992,0,9,411,1477,1327,657,241,91,81,85,49
1992/1993,0,6,235,875,1029,605,235,150,113,78,39
1993/1994,0,3,118,721,811,416,264,193,96,65,33
1994/1995,0,0,108,426,423,387,305,161,71,41,29
1995/1996,0,1,29,86,127,161,98,37,18,12,5
1996/1997,0,0,2,8,14,12,9,3,2,1,1
1997/1998,0,0,1,5,21,3,8,3,1,2,0
1998/1999,0,0,1,10,4,13,2,4,3,0,1
1999/2000,0,0,0,6,4,4,2,3,1,0,0
2000/2001,0,0,0,0,5,2,0,0,0,0,1
2001/2002,0,0,3,0,2,1,0,0,0,0,1
2002/2003,0,0,0,1,3,0,1,0,0,0,0
2003/2004,0,0,0,0,0,1,0,0,0,0,0
2004/2005,0,0,0,0,1,1,0,0,0,0,0
2005/2006,0,0,0,0,0,0,0,0,0,0,0
2006/2007,0,0,0,0,0,2,0,0,0,0,0
