Year of onset,Age (mths) youngest case (n),Age (mths) 2nd youngest  case (n),Age (yrs.mths)  2nd oldest case (n),"Age (yrs.mths)
oldest case (n)"
1986,30,33,5.03,5.07
1987,30,31,9.09,10
1988,24,27,10.02,11.01(2)
1989,21,24(4),12(2),15.04
1990,24(2),26,13.03,14
1991,24,26(3),14.02,17.05
1992,20,26,15.02,16.02
1993,29,30(3),14.1,18.1
1994,30(2),31(2),14.05,16.07
1995,24,32,14.09,15.04
1996,29,30,15.07,17.02
1997,37(7),38(3),14.09,15.01
1998,34,36,14.07,15.05
1999,39(2),41,13.07,13.1
2000,40,42,17.08,19.09
2001,45,48,16.01,20.08
2002,47,48(2),18.04,22.07
2003,46,49,18.07(2),20.06
2004,49,52,17.04,22.07
2005,36,38,18.01,19.04
2006,48,58,17.05,19.09
2007,62,66(2),17.03,19
2008,65,69,19.04,20.07
2009,72,86,16.08,18.03
2010,64,72,16.05,17
2011,135,143,12.07,17.11
2012,75,N/A,N/A,20.9
2013,77,138,11.06,12.1
