"GB
case",Date Of Birth,"Date BSE
Confirmed",County Of Birth,Method Of Detection
1,25/08/1996,27/06/2000,Dorset,Passive Surveillance
2,20/05/1997,15/06/2001,Somerset,Passive Surveillance
3,04/12/1996,13/07/2001,Buckinghamshire,Passive Surveillance
4,18/01/1997,24/08/2001,Cheshire,Passive Surveillance
5,25/04/1997,28/08/2001,Shropshire,Active Surveillance - Casualty Survey
6,07/09/1996,11/12/2001,Dyfed,Active Surveillance - Casualty Survey
7,04/01/1997,17/01/2002,Staffordshire,Passive Surveillance
8,12/02/1997,22/01/2002,Leicestershire,Passive Surveillance
9,27/07/1997,06/02/2002,Lancashire,Active Surveillance - Casualty Survey
10,30/07/1997,06/02/2002,Oxfordshire,Active Surveillance - Casualty Survey
11,09/03/1997,27/02/2002,Buckinghamshire,Active Surveillance - OTMS
12,16/02/1998,27/02/2002,Gwynedd,Active Surveillance - Casualty Survey
13,29/09/1996,15/03/2002,"Imported from Republic
of Ireland on 21/05/1998.",Active Surveillance - Casualty Survey
14,27/04/1997,27/03/2002,Devon,Active Surveillance - Casualty Survey
15,18/09/1996,13/05/2002,Hampshire,Passive Surveillance
16,29/11/1997,13/05/2002,Hampshire,Passive Surveillance
17,27/08/1996,13/05/2002,Cheshire,Active Surveillance - Casualty Survey
18,28/06/1997,06/06/2002,Powys,"Active Surveillance - Fallen Stock
Survey"
19,20/07/1998,08/08/2002,Dyfed,Active Surveillance - Casualty Survey
20,04/03/1998,22/08/2002,Gloucestershire,Active Surveillance - Casualty Survey
21,21/07/1998,03/09/2002,Cheshire,Active Surveillance - Casualty Survey
22,22/08/1996,16/10/2002,Dumfries,Active Surveillance - OTMS
23,08/11/1996,17/10/2002,Devon,Active Surveillance - OTMS
24,21/02/1997,29/10/2002,Hertfordshire,"Active Surveillance - Fallen Stock
Survey"
25,17/09/1997,30/10/2002,Dorset,Active Surveillance - Casualty Survey
26,04/10/1996,21/11/2002,Cumbria,Active Surveillance - OTMS
27,14/02/1997,27/11/2002,South Yorkshire,Passive Surveillance
28,12/02/1997,29/11/2002,Lancashire,Active Surveillance - Casualty Survey
29,13/02/1997,17/12/2002,East Sussex,Active Surveillance - OTMS
30,06/11/1998,09/01/2003,Cornwall,Active Surveillance - OTMS
31,30/04/1997,04/02/2003,Cumbria,Active Surveillance - Casualty Survey
32,30/07/1997,19/02/2003,Lancashire,Active Surveillance - OTMS
33,20/03/1997,19/02/2003,Somerset,Active Surveillance - Casualty Survey
34,05/09/1997,03/03/2003,Cornwall,Passive Surveillance
35,12/03/1999,04/03/2003,Staffordshire,Active Surveillance - Casualty Survey
36,07/08/1998,13/03/2003,Strathclyde,Active Surveillance - Casualty Survey
37,29/11/1997,27/03/2003,Grampian,Active Surveillance - Casualty Survey
38,29/11/1997,27/03/2003,Dumfries,Passive Surveillance
39,04/01/1997,27/03/2003,Cumbria,Active Surveillance - Casualty Survey
40,30/03/1998,07/04/2003,Derbyshire,Active Surveillance - OTMS
41,29/08/1997,25/04/2003,Dyfed,Active Surveillance - OTMS
42,15/06/1998,25/04/2003,Cornwall,Active Surveillance - OTMS
43,15/08/1998,09/05/2003,Somerset,Passive Surveillance
44,27/11/1997,09/05/2003,Oxfordshire,Active Surveillance - Casualty Survey
45,05/10/1998,09/05/2003,Devon,Passive Surveillance
46,20/12/1996,02/06/2003,Nottinghamshire,Passive Surveillance
47,19/07/1997,05/06/2003,Hampshire,Active Surveillance - OTMS
48,01/12/1997,05/06/2003,Dyfed,Active Surveillance - OTMS
49,18/05/1998,10/06/2003,Tayside,Active Surveillance - Casualty Survey
50,14/09/1996,07/07/2003,Dorset,"Active Surveillance - Fallen Stock
Survey"
51,22/06/1998,17/07/2003,Gloucestershire,Active Surveillance - Casualty Survey
52,18/05/1997,21/07/2003,Lancashire,Active Surveillance - Casualty Survey
53,06/11/1997,29/07/2003,Devon,Active Surveillance - Casualty Survey
54,14/04/1998,30/07/2003,Devon,Active Surveillance - Casualty Survey
55,23/04/1998,31/07/2003,Dyfed,Passive Surveillance
56,18/08/1997,19/08/2003,Dyfed,"Active Surveillance - Fallen Stock
Survey"
57,17/09/1997,22/09/2003,West Sussex,Passive Surveillance
58,09/01/1997,02/10/2003,Greater London,Passive Surveillance
59,04/11/1998,02/10/2003,Cornwall,Passive Surveillance
60,19/10/1996,03/10/2003,Somerset,Active Surveillance - Casualty Survey
61,09/02/1999,15/10/2003,Mid Glamorgan,Active Surveillance - OTMS
62,13/02/1997,28/10/2003,Wiltshire,"Active Surveillance - Fallen Stock
Survey"
63,17/08/1996,28/10/2003,Dorset,"Active Surveillance - Fallen Stock
Survey"
64,12/10/1996,28/10/2003,"Untraceable - county of
birth not confirmed",Active Surveillance - Casualty Survey
65,12/06/1997,12/11/2003,Clwyd,Active Surveillance - Casualty Survey
66,19/09/1999,12/11/2003,Avon,Active Surveillance - Casualty Survey
67,23/10/1996,20/11/2003,Isle of Wight,Active Surveillance - OTMS
68,12/03/1999,02/12/2003,Devon,Passive Surveillance
69,31/03/1997,09/12/2003,Somerset,Passive Surveillance
70,27/02/1998,18/12/2003,Wiltshire,Active Surveillance - Casualty Survey
71,22/04/1998,08/01/2004,Shropshire,Active Surveillance - OTMS
72,12/06/1999,03/03/2004,Cheshire,Active Surveillance - Casualty Survey
73,24/01/1999,23/03/2004,Somerset,Active Surveillance - Casualty Survey
74,22/09/1998,20/04/2004,Lincolnshire,Passive Surveillance
75,14/11/1999,20/04/2004,Wiltshire,"Active Surveillance - Fallen Stock
Survey"
76,06/05/1998,27/04/2004,Dyfed,Passive Surveillance
77,13/01/1997,08/07/2004,Strathclyde,Active Surveillance - OTMS
78,22/07/1999,14/07/2004,Nottinghamshire,Active Surveillance - Casualty Survey
79,20/09/1996,28/07/2004,Buckinghamshire,"Active Surveillance - Fallen Stock
Survey"
80,15/02/1998,02/08/2004,Shropshire,Active Surveillance - Casualty Survey
81,09/12/1999,02/08/2004,Devon,"Active Surveillance - Fallen Stock
Survey"
82,01/04/2000,04/08/2004,Derbyshire,Passive Surveillance
83,07/02/1998,12/08/2004,Dyfed,Active Surveillance - Casualty Survey
84,11/11/1996,13/09/2004,Gloucestershire,Passive Surveillance
85,25/10/1998,22/10/2004,North Yorkshire,Passive Surveillance
86,15/11/1998,02/11/2004,Lincolnshire,Passive Surveillance
87,09/07/1998,30/11/2004,Norfolk,Active Surveillance - Casualty Survey
88,21/09/1997,30/11/2004,Durham,Active Surveillance - Casualty Survey
89,17/08/1998,17/12/2004,Powys,Active Surveillance - Casualty Survey
90,31/08/1997,17/12/2004,Surrey,Active Surveillance - Casualty Survey
91,28/05/1997,22/12/2004,Shropshire,Passive Surveillance
92,12/11/1999,05/01/2005,Wiltshire,Active Surveillance - OTMS
93,01/01/1998,26/01/2005,Dyfed,Active Surveillance - Casualty Survey
94,25/01/1999,03/02/2005,Tayside,"Active Surveillance - Fallen Stock
Survey"
95,10/12/1996,21/02/2005,Northamptonshire,"Active Surveillance - Fallen Stock
Survey"
96,03/10/2001,01/03/2005,Dyfed,Active Surveillance - Casualty Survey
97,06/09/1998,04/04/2005,Shropshire,Active Surveillance - Casualty Survey
98,18/08/1999,04/04/2005,Greater London,Passive Surveillance
99,21/02/1999,05/04/2005,Highland,Passive Surveillance
100,22/05/1997,11/04/2005,"Untraceable - county of
birth not confirmed",Active Surveillance - Casualty Survey
101,07/03/1998,06/05/2005,Devon,"Active Surveillance - Fallen Stock
Survey"
102,06/03/1998,06/05/2005,Dyfed,Active Surveillance - Cohort
103,26/11/1999,20/05/2005,Wiltshire,Active Surveillance - Cohort
104,06/07/1998,26/05/2005,Devon,Active Surveillance - Cohort
105,28/09/2001,27/05/2005,Dyfed,Active Surveillance - Cohort
106,01/05/2002,27/05/2005,Dyfed,Active Surveillance - Cohort
107,14/04/1998,06/06/2005,Dyfed,Active Surveillance - OTMS
108,20/03/1999,06/07/2005,Lincolnshire,Passive Surveillance
109,12/05/1998,12/07/2005,Humberside,Active Surveillance - OTMS
110,25/03/1999,31/08/2005,Orkney,Active Surveillance - OTMS
111,15/03/2000,12/09/2005,Hampshire,"Active Surveillance - Fallen Stock
Survey"
112,11/06/1999,31/10/2005,Derbyshire,Active Surveillance - Casualty Survey
113,08/01/1998,04/11/2005,Cheshire,Passive Surveillance
114,22/09/1998,10/11/2005,Clwyd,Active Surveillance - Casualty Survey
115,02/03/1999,10/11/2005,Aberdeenshire,"Active Surveillance - Fallen Stock
Survey"
116,03/11/1997,21/11/2005,Devon,Passive Surveillance
117,24/02/1999,21/11/2005,Greater London,Active Surveillance - Casualty Survey
118,29/11/1997,30/11/2005,Fife,Active Surveillance - Casualty Survey
119,26/09/1999,07/12/2005,Kent,Active Surveillance - Casualty Survey
120,20/01/1998,08/12/2005,Nottinghamshire,Passive Surveillance
121,20/11/1999,03/01/2006,Dorset,Passive Surveillance
122,30/03/1999,10/01/2006,Orkney,Active Surveillance - Cohort
123,03/02/2000,03/02/2006,Essex,"Active Surveillance - Fallen Stock
Survey"
124,04/06/1997,22/02/2006,Staffordshire,Passive Surveillance
125,20/01/2001,28/02/2006,Clwyd,"Active Surveillance - Fallen Stock
Survey"
126,06/01/1998,20/03/2006,West Yorkshire,Passive Surveillance
127,05/01/2001,29/03/2006,Dorset,"Active Surveillance - Fallen Stock
Survey"
128,17/04/1999,10/04/2006,Cornwall,Passive Surveillance
129,13/09/1996,11/04/2006,Dorset,"Active Surveillance - Fallen Stock
Survey"
130,20/02/2000,19/04/2006,Tayside,"Active Surveillance - Fallen Stock
Survey"
131,18/08/2000,20/04/2006,Norfolk,Passive Surveillance
132,24/05/1997,04/05/2006,Lancashire,"Active Surveillance - Fallen Stock
Survey"
