"NI
case",Date Of Birth,"Date BSE
Confirmed",Method Of Detection
1,10/09/1996,08/02/2001,Active Surveillance - Casualty Survey
2,01/06/1997,13/12/2001,Active Surveillance - Fallen Stock
3,25/05/1999,01/02/2002,Active Surveillance - Casualty Survey
4,28/09/1997,30/08/2002,Active Surveillance - Casualty Survey
5,20/11/1997,05/03/2003,Active Surveillance - Casualty Survey
6,17/09/1997,23/04/2003,Passive Surveillance
7,03/03/1999,18/07/2003,Active Surveillance - Casualty Survey
8,03/11/1996,08/08/2003,Active Surveillance - Casualty Survey
9,01/12/1997,10/09/2003,Active Surveillance - Casualty Survey
10,07/12/1998,10/11/2003,Active Surveillance - Casualty Survey
11,21/10/1998,31/12/2003,Active Surveillance - Casualty Survey
12,14/12/1999,06/04/2004,Active Surveillance - Casualty Survey
13,07/05/1998,16/08/2004,Active Surveillance - Casualty Survey
14,12/05/2000,16/12/2004,Active Surveillance - OTMS
15,01/03/2000,31/01/2005,Active Surveillance - Casualty Survey
16,01/01/1998,17/05/2005,Active Surveillance - Cohort
17,22/02/2000,03/08/2005,Active Surveillance - Fallen Stock
18,08/07/1997,30/12/2005,Active Surveillance - Casualty Survey
19,01/01/1998,03/04/2006,Active surveillance - Fallen stock
20,12/05/1999,27/09/2006,Active surveillance - Fallen stock
21,29/11/1997,03/01/2007,Active surveillance - Fallen stock
22,29/06/1998,27/02/2007,Active surveillance - Fallen stock
23,20/04/2001,13/03/2007,Active surveillance - Fallen stock
24,27/04/2000,12/12/2007,Active surveillance - Fallen stock
25,25/08/2003,04/04/2008,Active surveillance - Fallen stock
26,06/06/1997,28/10/2008,Active surveillance - Fallen stock
27,01/09/1997,17/11/2008,Active surveillance - Fallen stock
28,15/06/2003,02/02/2009,Active surveillance - Fallen stock
29,03/04/2003,27/03/2009,Active surveillance - Fallen stock
30,08/05/1997,06/11/2009,"Active surveillance - Human
Consumption"
31,21/09/1997,21/07/2011,Active surveillance - Fallen stock
32,25/06/1999,23/07/2012,Active surveillance - Fallen stock
