,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Jan,23,11,7,8,3,13,9,14,0,2,0,0,0,0,0,0
Feb,9,8,7,5,5,8,14,7,0,0,0,1,0,0,0,0
Mar,13,7,1,4,3,9,16,4,0,0,1,1,0,0,0,0
Apr,7,3,3,4,7,5,19,2,0,0,0,1,1,0,1,0
May,1,8,2,1,6,4,10,2,1,1,2,1,0,0,0,0
Jun,4,3,1,4,2,4,10,0,2,1,1,0,0,0,1,0
Jul,1,1,2,2,4,4,9,2,1,0,0,0,0,0,0,0
Aug,3,5,4,1,4,6,4,0,0,0,0,0,0,0,1,0
Sep,3,4,5,1,8,13,10,1,3,0,0,0,0,0,0,0
Oct,17,9,10,5,11,19,11,0,0,1,0,0,0,0,0,0
Nov,8,7,0,6,14,8,9,1,2,0,0,0,0,0,0,0
Dec,13,4,8,4,6,13,9,0,1,1,1,0,0,0,0,0
Totals,102,70,50,45,73,106,130,33,11,6,5,4,1,0,3,0
