Year,"Passive,GB","Active,GB","Total,GB","Passive,IR","Active,IR","Total,GB","Total,UK",,,,,,,,,,
Pre 1988,727,0,727,0,0,0,727,,,,,,,,,,
1988,2184,0,2184,4,0,4,2188,,,,,,,,,,
1989,7137,0,7137,29,0,29,7166,,,,,,,,,,
1990,14181,0,14181,113,0,113,14294,,,,,,,,,,
1991,25032,0,25032,170,0,170,25202,,,,,,,,,,
1992,36682,0,36682,374,0,374,37056,,,,,,,,,,
1993,34370,0,34370,459,0,459,34829,,,,,,,,,,
1994,23945,0,23945,345,0,345,24290,,,,,,,,,,
1995,14302,0,14302,173,0,173,14475,,,,,,,,,,
1996,8016,0,8016,74,0,74,8090,,,,,,,,,,
1997,4313,0,4313,23,0,23,4336,,,,,,,,,,
1998,3180,0,3180,18,0,18,3198,,,,,,,,,,
1999,2258,18,2276,7,0,7,2283,,,,,,,,,,
2000,1311,44,1355,20,55,75,1430,,,,,,,,,,
2001,781,332,1113,34,40,74,1187,,,,,,,,,,
2002,445,594,1039,28,70,98,1137,,,,,,,,,,
2003,173,375,548,12,51,63,611,,,,,,,,,,
2004,82,227,309,8,26,34,343,,,,,,,,,,
2005,39,164,203,0,22,22,225,,,,,,,,,,
2006,15,89,104,0,10,10,114,,,,,,,,,,
2007,7,46,53,0,14,14,67,,,,,,,,,,
2008,2,31,33,0,4,4,37,,,,,,,,,,
2009,1,8,9,0,3,3,12,,,,,,,,,,
2010,0,11,11,0,0,0,11,,,,,,,,,,
2011,0,5,5,0,2,2,7,,,,,,,,,,
2012,0,2,2,0,1,1,3,,,,,,,,,,
2013,0,3,3,0,0,0,3,,,,,,,,,,
2014,0,0,0,0,0,0,0,,,,,,,,,,
Total,179183,1949,181132,1891,298,2189,183321,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
