County,Passive Surveillance,,Active Surveillance,
,2013,2014,2013,2014
Cleveland & Darlington,0,0,0,0
Durham,0,0,0,0
Northumberland,0,0,0,0
Tyne & Wear,0,0,0,0
Cheshire,0,0,0,0
Cumbria,0,0,0,0
Greater Manchester,0,0,0,0
Lancashire,0,0,0,0
Merseyside,0,0,0,0
Derbyshire,0,0,0,0
Leicestershire & Rutland,0,0,0,0
Lincolnshire excl North,0,0,0,0
Northamptonshire,0,0,0,0
Nottinghamshire,0,0,0,0
Herefordshire,0,0,0,0
Shropshire,0,0,0,0
Staffordshire,0,0,0,0
Warwickshire,0,0,0,0
West Midlands,0,0,0,0
Worcestershire,0,0,0,0
"East Riding & Northern
Lincolnshire",0,0,0,0
North Yorkshire,0,0,0,0
South Yorkshire,0,0,0,0
West Yorkshire,0,0,0,0
Bedfordshire,0,0,0,0
Cambridgeshire,0,0,1,0
Essex,0,0,0,0
Hertfordshire,0,0,0,0
Norfolk,0,0,0,0
Suffolk,0,0,0,0
Berkshire,0,0,0,0
Buckinghamshire,0,0,0,0
East Sussex,0,0,0,0
Greater London,0,0,0,0
Hampshire,0,0,0,0
Isle of Wight,0,0,0,0
Kent,0,0,0,0
Oxfordshire,0,0,0,0
Surrey,0,0,0,0
West Sussex,0,0,0,0
Cornwall & Isles of Scilly,0,0,0,0
Devon,0,0,0,0
Dorset,0,0,0,0
Gloucestershire excl South,0,0,0,0
"Northern Somerset & South
Gloucestershire",0,0,0,0
Somerset excl North,0,0,0,0
Wiltshire,0,0,0,0
South West Total,0,0,0,0
Carmarthenshire,0,0,0,0
Ceredigion,0,0,0,0
North-East Wales,0,0,0,0
North-West Wales,0,0,1,0
Pembrokeshire,0,0,0,0
Powys,0,0,1,0
South Wales,0,0,0,0
Argyll & Bute,0,0,0,0
Ayrshire,0,0,0,0
Clyde Valley,0,0,0,0
Dumfries & Galloway,0,0,0,0
East Central,0,0,0,0
Eileanan an lar,0,0,0,0
Fife,0,0,0,0
Highland,0,0,0,0
Lothian,0,0,0,0
North-East Scotland,0,0,0,0
Orkney,0,0,0,0
Scottish Borders,0,0,0,0
Shetland,0,0,0,0
Tayside,0,0,0,0
Antrim,0,0,0,0
Armagh,0,0,0,0
Down,0,0,0,0
Fermanagh,0,0,0,0
Londonderry,0,0,0,0
Tyrone,0,0,0,0
